No,L,C,fsw,delta_current,delta_voltage,Pl_s1,Pl_s2,Pl_C,Pl_L_Cu
1,3e-05,3e-05,20000,459.0348642657058,22.680866894047572,2.5727074420928684,2.5727074420928684,1.5819122871435367,2.3244217067618997
2,3e-05,3e-05,110000,105.44643692377961,18.14313800388556,2.977380748749658,2.977380748749658,0.09828538987610164,0.5385677582158195
3,3e-05,3e-05,200000,59.27606746574463,18.170678660733202,3.9228295135244275,3.9228295135244275,0.05077308693411397,0.4908771517544086
4,3e-05,0.000115,20000,743.3841750006673,6.20295833378413,1.5923869642595578,1.5923869642595578,0.27015213313744646,1.811131006324687
5,3e-05,0.000115,110000,106.46036136226054,5.069347456980309,3.035891597363226,3.035891597363226,0.026613966927726447,0.5608609342709066
6,3e-05,0.000115,200000,62.920473901121596,5.180051552322175,3.792808751774901,3.792808751774901,0.012393533722924075,0.46053102212052577
7,3e-05,0.0002,20000,664.2424032901359,3.6667603765001804,1.785371709932179,1.785371709932179,0.16842038421943312,1.8996417585407825
8,3e-05,0.0002,110000,118.82163959183805,4.181322152877322,2.7587345883842835,2.7587345883842835,0.012745831732651291,0.47294966860520754
9,3e-05,0.0002,200000,63.0538780502123,3.9337318799128265,3.869079293717604,3.869079293717604,0.007411529133773229,0.47930409201416607
10,0.001015,3e-05,20000,20.098595884647366,0.7283803835644389,1.742959519667735,1.742959519667735,0.407085326637952,2.1642423807278113
11,0.001015,3e-05,110000,3.6470467715603707,0.6172448693659894,2.641168273199881,2.641168273199881,0.07405179754021814,2.161401078516477
12,0.001015,3e-05,200000,2.006628666994773,0.6139268561769584,3.5370062589337117,3.5370062589337117,0.04071136914368219,2.1603999988958487
13,0.001015,0.000115,20000,23.18389714892939,0.8861273884541374,1.7300015226111292,1.7300015226111292,0.1046253659171015,2.1345467640739066
14,0.001015,0.000115,110000,6.671567727398423,0.9706378145489627,2.622951407819924,2.622951407819924,0.01905231112608461,2.132242678926384
15,0.001015,0.000115,200000,5.026158134695318,0.926680438410871,3.5120722278113283,3.5120722278113283,0.010471151328521867,2.130424925634124
16,0.001015,0.0002,20000,36.485094707018504,3.675752549731284,1.7465799280785077,1.7465799280785077,0.06131635760073612,2.189978420439003
17,0.001015,0.0002,110000,20.716625787347578,3.735400646497406,2.656562382306199,2.656562382306199,0.01123762434282176,2.1942474417417164
18,0.001015,0.0002,200000,19.149373987899708,3.738780455023106,3.55954045406978,3.55954045406978,0.00618476346475877,2.194627960898578
19,0.002,3e-05,20000,10.190668841184092,0.3709408677844957,1.7446815927116759,1.7446815927116759,0.40743731664234983,2.163116124163178
20,0.002,3e-05,110000,1.8532917540344824,0.3130155479850241,2.6393272210286827,2.6393272210286827,0.07394588709345443,2.1582114366665563
21,0.002,3e-05,200000,1.0196749861755232,0.31201204679061245,3.5344256812202524,3.5344256812202524,0.04065153456076155,2.1571950276475564
22,0.002,0.000115,20000,11.326522361913302,2.0350506676089437,1.7649969332457658,1.7649969332457658,0.10877671701469517,2.2142352173826616
23,0.002,0.000115,110000,3.1542356936661435,2.101630417977619,2.675762078288536,2.675762078288536,0.019826488535490124,2.2183296306867177
24,0.002,0.000115,200000,2.3389596809334203,2.1050012871945705,3.583824650137825,3.583824650137825,0.01090325349546093,2.217998472652572
25,0.002,0.0002,20000,25.831663169009516,5.863472015332427,1.7222860559402742,1.7222860559402742,0.059557251313277645,2.1178276973674297
26,0.002,0.0002,110000,17.825789734754967,5.817058193827764,2.6111726908086634,2.6111726908086634,0.010856507042019726,2.1179454138547458
27,0.002,0.0002,200000,17.02631663351151,5.835444635745681,3.498078831689872,3.498078831689872,0.005972961494435445,2.1181417744569533
