Rank,Solution,Fitness,Volume L,Volume C,Voltage,Delta Vo,Delta IL,P_l_s1,P_l_s2,P_l_C,P_l_L_Cu,P_D,Total Losses
1,[8.2300e-04 3.5000e-05 4.9887e+04 2.3500e-07],5.387099,2.0828406321502e-06,4.328e-06,10.944629,0.7048999,9.167055,2.0229354,2.0229354,0.13516963,1.1777128,0.028345818,5.387099
2,[8.9700e-04 6.0000e-05 5.2441e+04 2.1000e-07],5.433478,2.0828406321502e-06,1.926e-06,10.923747,0.49992654,8.735089,2.0701306,2.0701306,0.070076905,1.1966408,0.026498815,5.433478
3,[8.9700e-04 6.0000e-05 5.2441e+04 2.1000e-07],5.433478,2.0828406321502e-06,1.926e-06,10.923747,0.49992654,8.735089,2.0701306,2.0701306,0.070076905,1.1966408,0.026498815,5.433478
4,[8.9700e-04 6.0000e-05 5.2441e+04 2.1000e-07],5.433478,2.0828406321502e-06,1.926e-06,10.923747,0.49992654,8.735089,2.0701306,2.0701306,0.070076905,1.1966408,0.026498815,5.433478
5,[8.9700e-04 6.0000e-05 5.2441e+04 2.1000e-07],5.433478,2.0828406321502e-06,1.926e-06,10.923747,0.49992654,8.735089,2.0701306,2.0701306,0.070076905,1.1966408,0.026498815,5.433478
6,[8.9700e-04 6.0000e-05 5.2441e+04 2.1000e-07],5.433478,2.0828406321502e-06,1.926e-06,10.923747,0.49992654,8.735089,2.0701306,2.0701306,0.070076905,1.1966408,0.026498815,5.433478
7,[8.9700e-04 6.0000e-05 5.2441e+04 2.1000e-07],5.433478,2.0828406321502e-06,1.926e-06,10.923747,0.49992654,8.735089,2.0701306,2.0701306,0.070076905,1.1966408,0.026498815,5.433478
8,[8.9700e-04 6.0000e-05 5.2441e+04 2.1000e-07],5.433478,2.0828406321502e-06,1.926e-06,10.923747,0.49992654,8.735089,2.0701306,2.0701306,0.070076905,1.1966408,0.026498815,5.433478
9,[8.9700e-04 6.0000e-05 5.2441e+04 2.1000e-07],5.433478,2.0828406321502e-06,1.926e-06,10.923747,0.49992654,8.735089,2.0701306,2.0701306,0.070076905,1.1966408,0.026498815,5.433478
10,[8.9700e-04 6.0000e-05 5.2441e+04 2.1000e-07],5.433478,2.0828406321502e-06,1.926e-06,10.923747,0.49992654,8.735089,2.0701306,2.0701306,0.070076905,1.1966408,0.026498815,5.433478
