Rank,Solution,Fitness,Volume L,Volume C,Voltage,Delta Vo,Delta IL,P_l_s1,P_l_s2,P_l_C,P_l_L_Cu,P_D,Total Losses
1,[8.9800e-04 3.0000e-05 6.3675e+04 1.0000e-06],4.2781634,2.0828406321502e-06,1.564e-06,8.387835,0.9521607,6.012559,1.6901369,1.6901369,0.06908058,0.7212174,0.10759196,4.278164
2,[8.9800e-04 3.0000e-05 6.3675e+04 1.0000e-06],4.2781634,2.0828406321502e-06,1.564e-06,8.387835,0.9521607,6.012559,1.6901369,1.6901369,0.06908058,0.7212174,0.10759196,4.278164
3,[8.9800e-04 3.0000e-05 6.3675e+04 1.0000e-06],4.2781634,2.0828406321502e-06,1.564e-06,8.387835,0.9521607,6.012559,1.6901369,1.6901369,0.06908058,0.7212174,0.10759196,4.278164
4,[8.9800e-04 3.0000e-05 6.3675e+04 1.0000e-06],4.2781634,2.0828406321502e-06,1.564e-06,8.387835,0.9521607,6.012559,1.6901369,1.6901369,0.06908058,0.7212174,0.10759196,4.278164
5,[8.9800e-04 3.0000e-05 6.3675e+04 1.0000e-06],4.2781634,2.0828406321502e-06,1.564e-06,8.387835,0.9521607,6.012559,1.6901369,1.6901369,0.06908058,0.7212174,0.10759196,4.278164
6,[8.9800e-04 3.0000e-05 6.3675e+04 1.0000e-06],4.2781634,2.0828406321502e-06,1.564e-06,8.387835,0.9521607,6.012559,1.6901369,1.6901369,0.06908058,0.7212174,0.10759196,4.278164
7,[8.9800e-04 3.0000e-05 6.3675e+04 1.0000e-06],4.2781634,2.0828406321502e-06,1.564e-06,8.387835,0.9521607,6.012559,1.6901369,1.6901369,0.06908058,0.7212174,0.10759196,4.278164
8,[8.8300e-04 8.3000e-05 6.3392e+04 6.8200e-07],4.8104234,2.0828406321502e-06,4.155e-06,9.385135,0.89982635,8.409052,1.8886292,1.8886292,0.035625122,0.91519296,0.082346916,4.8104234
9,[8.8300e-04 8.3000e-05 6.3392e+04 6.8200e-07],4.8104234,2.0828406321502e-06,4.155e-06,9.385135,0.89982635,8.409052,1.8886292,1.8886292,0.035625122,0.91519296,0.082346916,4.8104234
