No,L,C,fsw,t_dt,current,voltagedelta_current,delta_voltage,Pl_s1,Pl_s2,Pl_C,Pl_L_Cu,P_D
1,3e-05,3e-05,20000,1.78e-07,2.369076212400351,11.754836343978347,630.7365460167921,22.322084714567776,1.8721387860872531,1.8721387860872531,1.1652647096399509,1.927280592538472,0.00843391131614525
2,3e-05,3e-05,20000,1e-06,2.3800576422097453,11.755349550621384,627.8247270972067,22.285218582512965,1.880816751179829,1.880816751179829,1.1696223635532648,1.9314229180161904,0.0476011528441949
3,3e-05,3e-05,200000,1.78e-07,2.082148933928239,10.353253852105773,62.69469066485792,20.967141750745487,3.3364354517266097,3.3364354517266097,0.03692085435479595,0.3562895445089342,0.0741245020478453
4,3e-05,3e-05,200000,1e-06,0.5066212413615093,2.45771319772434,73.94675965826923,53.687754583508266,0.8118098771576825,0.8118098771576825,0.0028409024949549106,0.021355072502767924,0.10132424827230187
5,3e-05,0.0002,20000,1.78e-07,2.261653529927751,11.78844334086406,663.4092380691488,3.6688555444461244,1.7872490854901062,1.7872490854901062,0.16855499838319654,1.8998868802947058,0.008051486566542794
6,3e-05,0.0002,20000,1e-06,3.737705875474105,11.762539341815165,401.13148440814734,3.657249842269335,2.9536846910346566,2.9536846910346566,0.27954333264735065,2.6023927727507967,0.07475411750948209
7,3e-05,0.0002,200000,1.78e-07,2.0230530003312395,10.138946573664573,66.36694798850472,3.573935605589028,3.2417401277307776,3.2417401277307776,0.005234065684700842,0.3376383123815753,0.07202068681179213
8,3e-05,0.0002,200000,1e-06,0.5182107415681894,2.4128017724440034,73.17137334431274,14.420470370240462,0.8303808922888666,0.8303808922888666,0.0004410217189778388,0.022322973831023517,0.10364214831363787
9,0.002,3e-05,20000,1.78e-07,2.1723967709809586,10.864759801373504,10.257612135963653,0.37229755962460337,1.7167148242999926,1.7167148242999926,0.3944847736252858,2.09434749250617,0.0077337325046922135
10,0.002,3e-05,20000,1e-06,2.027251884501302,10.139756190983157,10.48226002166685,0.39798271950848096,1.602015529208309,1.602015529208309,0.34355237449718845,1.8239071109469103,0.04054503769002604
11,0.002,3e-05,200000,1.78e-07,1.8911774822737262,9.456803832100476,1.068341004692088,0.35981715824639643,3.0304227975954188,3.0304227975954188,0.02988452024597286,1.5858369001454131,0.06732591836894465
12,0.002,3e-05,200000,1e-06,0.4412934734399572,2.2057282130858265,1.2914885553825468,0.913552460480174,0.7071286618401873,0.7071286618401873,0.0016273323456819414,0.08634771656505236,0.08825869468799144
13,0.002,0.0002,20000,1.78e-07,2.1499884472629462,10.187253721170302,25.8591184352707,5.855445183502408,1.6990068705650705,1.6990068705650705,0.057958758402176305,2.0609878469573983,0.007653958872256089
14,0.002,0.0002,20000,1e-06,2.0340531355640863,9.508280750135665,25.721015664876923,5.855018153970942,1.6073901498481633,1.6073901498481633,0.051879054616375,1.8445996747856777,0.040681062711281725
15,0.002,0.0002,200000,1.78e-07,1.8720934556521582,8.86077542529953,17.0733317585698,5.829076312348653,2.999842553337018,2.999842553337018,0.0043926648383170635,1.557752839962083,0.06664652702121683
16,0.002,0.0002,200000,1e-06,0.43657257539087374,2.0657173569991363,17.28823085133607,6.078259636202421,0.6995638948063361,0.6995638948063361,0.0002389055932353595,0.08471943717830427,0.08731451507817474
